YEAR,0,DY,41.2960517_-84.2273628,41.391012_-84.137842,41.53086853_-83.71882629,41.670988_-83.835347
1988,,21,11.18,11.18,11.18,11.18
1988,,22,11.21,11.21,11.21,11.21
1988,,23,11.23,11.23,11.23,11.23
1988,,24,11.26,11.26,11.26,11.26
1988,,25,11.28,11.28,11.28,11.28
1988,,26,11.3,11.3,11.3,11.3
1988,,27,11.33,11.33,11.33,11.33
1988,,28,11.35,11.35,11.35,11.35
1988,,29,11.37,11.37,11.37,11.37
1988,,30,11.4,11.4,11.4,11.4
1988,,31,11.42,11.42,11.42,11.42
1988,,1,11.44,11.44,11.44,11.44
1988,,2,11.45,11.45,11.45,11.45
1988,,3,11.47,11.47,11.47,11.47
1988,,4,11.48,11.48,11.48,11.48
1988,,5,11.5,11.5,11.5,11.5
1988,,6,11.51,11.51,11.51,11.51
1988,,7,11.53,11.53,11.53,11.53
1988,,8,11.54,11.54,11.54,11.54
1988,,9,11.55,11.55,11.55,11.55
1988,,10,11.56,11.56,11.56,11.56
1988,,11,11.57,11.57,11.57,11.57
1988,,12,11.58,11.58,11.58,11.58
1988,,13,11.58,11.58,11.58,11.58
1988,,14,11.59,11.59,11.59,11.59
1988,,15,11.59,11.59,11.59,11.59
1988,,16,11.6,11.6,11.6,11.6
1988,,17,11.6,11.6,11.6,11.6
1988,,18,11.6,11.6,11.6,11.6
1988,,19,11.6,11.6,11.6,11.6
1988,,20,11.6,11.6,11.6,11.6
1988,,21,11.6,11.6,11.6,11.6
1988,,22,11.59,11.59,11.59,11.59
1988,,23,11.59,11.59,11.59,11.59
1988,,24,11.58,11.58,11.58,11.58
1988,,25,11.58,11.58,11.58,11.58
1988,,26,11.58,11.58,11.58,11.58
1988,,27,11.57,11.57,11.57,11.57
1988,,28,11.56,11.56,11.56,11.56
1988,,29,11.54,11.54,11.54,11.54
1988,,30,11.52,11.52,11.52,11.52
1988,,1,11.51,11.51,11.51,11.51
1988,,2,11.5,11.5,11.5,11.5
1988,,3,11.49,11.49,11.49,11.49
1988,,4,11.48,11.48,11.48,11.48
1988,,5,11.47,11.47,11.47,11.47
1988,,6,11.46,11.46,11.46,11.46
1988,,7,11.45,11.45,11.45,11.45
1988,,8,11.43,11.43,11.43,11.43
1988,,9,11.4,11.4,11.4,11.4
1988,,10,11.38,11.38,11.38,11.38
1988,,11,11.36,11.36,11.36,11.36
1988,,12,11.34,11.34,11.34,11.34
1988,,13,11.32,11.32,11.32,11.32
1988,,14,11.29,11.29,11.29,11.29
1988,,15,11.27,11.27,11.27,11.27
1988,,16,11.24,11.24,11.24,11.24
1988,,17,11.21,11.21,11.21,11.21
1988,,18,11.19,11.19,11.19,11.19
1988,,19,11.16,11.16,11.16,11.16
1988,,20,11.13,11.13,11.13,11.13
1988,,21,11.1,11.1,11.1,11.1
1988,,22,11.08,11.08,11.08,11.08
1988,,23,11.04,11.04,11.04,11.04
1988,,24,11.02,11.02,11.02,11.02
1988,,25,10.98,10.98,10.98,10.98
1988,,26,10.95,10.95,10.95,10.95
1988,,27,10.91,10.91,10.91,10.91
1988,,28,10.87,10.87,10.87,10.87
1988,,29,10.83,10.83,10.83,10.83
1988,,30,10.79,10.79,10.79,10.79
1988,,31,10.75,10.75,10.75,10.75
1988,,1,10.71,10.71,10.71,10.71
1988,,2,10.68,10.68,10.68,10.68
1988,,3,10.63,10.63,10.63,10.63
1988,,4,10.6,10.6,10.6,10.6
1988,,5,10.55,10.55,10.55,10.55
1988,,6,10.51,10.51,10.51,10.51
1988,,7,10.46,10.46,10.46,10.46
1988,,8,10.42,10.42,10.42,10.42
1988,,9,10.37,10.37,10.37,10.37
1988,,10,10.32,10.32,10.32,10.32
1988,,11,10.27,10.27,10.27,10.27
1988,,12,10.22,10.22,10.22,10.22
1988,,13,10.17,10.17,10.17,10.17
1988,,14,10.13,10.13,10.13,10.13
1988,,15,10.08,10.08,10.08,10.08
1988,,16,10.03,10.03,10.03,10.03
1988,,17,9.98,9.98,9.98,9.98
1988,,18,9.93,9.93,9.93,9.93
1988,,19,9.88,9.88,9.88,9.88
1988,,20,9.82,9.82,9.82,9.82
1988,,21,9.77,9.77,9.77,9.77
1988,,22,9.72,9.72,9.72,9.72
1988,,23,9.66,9.66,9.66,9.66
1988,,24,9.6,9.6,9.6,9.6
1988,,25,9.54,9.54,9.54,9.54
1988,,26,9.49,9.49,9.49,9.49
1988,,27,9.43,9.43,9.43,9.43
1988,,28,9.37,9.37,9.37,9.37
1988,,29,9.31,9.31,9.31,9.31
1988,,30,9.25,9.25,9.25,9.25
1988,,31,9.18,9.18,9.18,9.18
1988,,1,9.12,9.12,9.12,9.12
1988,,2,9.06,9.06,9.06,9.06
1988,,3,9.0,9.0,9.0,9.0
1988,,4,8.94,8.94,8.94,8.94
1988,,5,8.88,8.88,8.88,8.88
1988,,6,8.82,8.82,8.82,8.82
1988,,7,8.76,8.76,8.76,8.76
1988,,8,8.69,8.69,8.69,8.69
1988,,9,8.63,8.63,8.63,8.63
1988,,10,8.56,8.56,8.56,8.56
1988,,11,8.5,8.5,8.5,8.5
